Region,Zone,Woreda
Addis Ababa,Addis Ketema,Addis Ketema
Addis Ababa,Akaki,Akaki
Addis Ababa,Arada,Arada
Addis Ababa,Bole,Bole
Addis Ababa,Gulele,Gulele
Addis Ababa,Kirkos,Kirkos
Addis Ababa,Kolfe,Kolfe
Addis Ababa,Lemi Kura,Lemi Kura
Addis Ababa,Lideta,Lideta
Addis Ababa,Nefas silk Lafto,Nefas silk Lafto
Addis Ababa,Yeka,Yeka
Afar,Zone 1,Adear
Afar,Zone 1,Afambo
Afar,Zone 1,Ayssaita Town
Afar,Zone 1,Chifra town
Afar,zone 1,Mille Town
Afar,Zone 1,Ayssaita woreda
Afar,Zone 1,Chifra
Afar,Zone 1,Dubti town
Afar,Zone 1,Dubti woreda
Afar,Zone 1,Elidear
Afar,Zone 1,Kori
Afar,Zone 1,Mille
Afar,Zone 1,Semere-Logia
Afar,Zone 2,Abe'ala town
Afar,Zone 2,Abe'ala Woreda
Afar,Zone 2,Afdera
Afar,Zone 2,Berahile
Afar,zone 2,Wasema
Afar,Zone 2,Bidu
Afar,Zone 2,Dallol
Afar,Zone 2,Erebti
Afar,Zone 2,Koneba
Afar,Zone 2,Megale
Afar,Zone 3,Amibara
Afar,Zone 3,Aregoba
Afar,Zone 3,Awash Fentale
Afar,Zone 3,Awash town
Afar,Zone 3,Bure Medaitu
Afar,Zone 3,Dulecha
Afar,Zone 3,Gele'alo
Afar,zone 3,werar town
Afar,zone 3,Abida
Afar,Zone 3,Gewane
Afar,Zone 3,Hanorika
Afar,Zone 4,Awura
Afar,Zone 4,Ewa
Afar,Zone 4,Gulina
Afar,Zone 4,Teru
Afar,Zone 4,Mabay
Afar,Zone 4,Yallo
Afar,Zone 5,Dalifaghe
Afar,Zone 5,Dewe
Afar,Zone 5,Hadele'ela
Afar,Zone 5,Semurobi
Afar,Zone 5,Telalak
Afar,Zone 6,Kilalu
Afar,Zone 6,Adaado
Afar,Zone 6,Gereni
Afar,Zone 6,Yangudi
Afar,zone 6,Sibaybi
Amhara,Awi,Ankesha
Amhara,Awi,Ayehu Guagusa
Amhara,Awi,Banja
Amhara,Awi,Chagni Town
Amhara,Awi,Dangila Town
Amhara,Awi,Dangila Zuria
Amhara,Awi,Fagita Lekoma
Amhara,Awi,Guagusa shikudad
Amhara,Awi,Guangua
Amhara,Awi,Injibara Town
Amhara,Awi,Jawi
Amhara,Awi,Zigem
Amhara,Bahir dar Town,Bahirdar
Amhara,Central Gondor,Alefa
Amhara,Central Gondor,Central Armachiho
Amhara,Central Gondor,Chilga-01
Amhara,Central Gondor,Chilga-02
Amhara,Central Gondor,East belesa
Amhara,Central Gondor,East Dembia
Amhara,Central Gondor,G/Zurai
Amhara,Central Gondor,kinfaz
Amhara,Central Gondor,Lay Armachiho
Amhara,Central Gondor,Tach Armachiho
Amhara,Central Gondor,Takusa
Amhara,Central Gondor,Tegedie
Amhara,Central Gondor,West belesa
Amhara,Central Gondor,West Dembia
Amhara,Central Gondor,Wogera
Amhara,Debere Birhan town,Debere Birhan town
Amhara,Debre Markos Town,Debre Markos
Amhara,Debre Tabor town,Debre Tabor town
Amhara,Dessie Town,Dessie
Amhara,East Gojam,Aneded
Amhara,East Gojam,Awabel
Amhara,East Gojam,Basoliben
Amhara,East Gojam,Bibugn
Amhara,East Gojam,Debaytilayit Gin
Amhara,East Gojam,Debre Elias
Amhara,East Gojam,Dejen
Amhara,East Gojam,Enarj Enawuga
Amhara,East Gojam,Enemay
Amhara,East Gojam,Enesiesarmidir
Amhara,East Gojam,Goncha
Amhara,East Gojam,Gozamn
Amhara,East Gojam,Hulteeju enesie
Amhara,East Gojam,Machakel
Amhara,East Gojam,Motta
Amhara,East Gojam,Sedie
Amhara,East Gojam,Shebel
Amhara,East Gojam,Sinan
Amhara,Gondar Town,Gondar Town
Amhara,Kombolcha Town,Kombolcha
Amhara,North Gojjam,Bahir Dar Zuria
Amhara,North Gojjam,Debub Achefer
Amhara,North Gojjam,Debub Mecha
Amhara,North Gojjam,Gonji Kollela
Amhara,North Gojjam,Semen Achefer
Amhara,North Gojjam,Semen Mecha
Amhara,North Gojjam,Yilmana Densa
Amhara,North Gondor,Adiarkay
Amhara,North Gondor,Beyeda
Amhara,North Gondor,Dabat
Amhara,North Gondor,Debark Town
Amhara,North Gondor,Debark Zuria
Amhara,North Gondar,East Telemt
Amhara,North Gondor,Janamora
Amhara,North Gondar,Maytebri
Amhara,North Gondor,Telemt
Amhara,North Gondar,West telemt
Amhara,North Shoa,Angolela
Amhara,North Shoa,Ankober
Amhara,North Shoa,Antsokia
Amhara,North Shoa,Asagirete
Amhara,North Shoa,Baso
Amhara,North Shoa,Berhete
Amhara,North Shoa,Eferata
Amhara,North Shoa,Ensaro
Amhara,North Shoa,Gishe
Amhara,North Shoa,H/Mariam
Amhara,North Shoa,Kewote
Amhara,North Shoa,Menze Gera
Amhara,North Shoa,Menze Keya
Amhara,North Shoa,Menze Lalo
Amhara,North Shoa,Menze Mama
Amhara,North Shoa,Merhabete
Amhara,North Shoa,Mida
Amhara,North Shoa,Minjar
Amhara,North Shoa,Moja
Amhara,North Shoa,Morete
Amhara,North Shoa,Shewarobit
Amhara,North Shoa,Siadbere
Amhara,North Shoa,Tarmaber
Amhara,North Wollo,Alamata Town
Amhara,North Wollo,Angot
Amhara,North Wollo,Bugna
Amhara,North Wollo,Dawunt
Amhara,North Wollo,gazo
Amhara,North Wollo,Gidan
Amhara,North Wollo,Gubalafto
Amhara,North Wollo,Habru
Amhara,North Wollo,Kobo Town
Amhara,North Wollo,Lalibela Town
Amhara,North Wollo,Lasta
Amhara,North Wollo,Meket
Amhara,North Wollo,Raya Alamata
Amhara,North Wollo,Raya Bala
Amhara,North Wollo,Raya Kobo
Amhara,North Wollo,Wadla
Amhara,Oromia special Zone,Artuma Fursi
